text,label,lang,score
"Compensation is, after all, supposed to bear some relationship - a close relationship, in a competitive market - to the actual skills that individuals possess and the manner in which they can deliver value to firm clients; tying that compensation rigidly to associate seniority makes about as much sense for law firm associates as it does for elementary school teachers, i.e., none at all.",neutral,en,1.2
"Good sources are soy, eggs and nuts.",neutral,en,1.4
One is said to have already resigned.,neutral,en,0.0
They don't even pretend that this is constitutionally legal.,neutral,en,-0.2
"""I was just looking at the dailies, saying, 'Jesus, this is amazing!' I talked about this scene with these guys for a long time, but I never thought it would come to fruition.""",neutral,en,-0.2
"But Chuck took the ambiguity to a new level after Blair manipulated him into kissing a guy, which he did with ease.",neutral,en,0.8
my kids lol....,casual,en,-3.0
"The goal of the program is to provide a road map for associates detailing the specific skills required at each of the newly created levels - junior, midlevel, and senior associates.",formal,en,1.2
by saying no?,casual,en,-1.2
What can I say?,casual,en,-1.6
"""It's a bad situation,"" said one villager who asked not to be identified, fearing retribution from both sides.",neutral,en,1.2
"cost around $1,000, yup 1 thousand",casual,en,-3.0
Please you have got to stop this and demand these companies and individual stores from gouging us into the dirt.,formal,en,-0.8
Discombobulated... Funny.,casual,en,-2.4
"til it's the ONLY thing... ""______________ Check out our website! www.biaf.org",casual,en,-1.66666666667
You have a couple restraining orders against you.,neutral,en,-0.2
HISTORY OF STYLES Ancient World.,neutral,en,1.0
so many times have u asked this question?,casual,en,-2.6
A medical or pharmaceutical researcher.,formal,en,1.0
Just do the eaten amount divided by the whale's weight.,neutral,en,-0.6
Justice Dinakaran had maintained that he had not acquired an inch of land since his appointment as a judge of HC and even called the collector's report motivated.,formal,en,0.8
"I can lay out descriptions, I study and remeber the lessons well.",neutral,en,0.8
i guess its very hard.,casual,en,-2.2
It took several hours Friday to deploy booms around the tanker.,neutral,en,0.2
Nichols broke Meyer's record for career passing yards earlier this season.,neutral,en,-0.2
"""What can we do?""",casual,en,-2.0
The trio also praised one another during the two-hour reunion.,neutral,en,0.6
It is a lot more fun when we can create victories!,neutral,en,-1.2
"As for Android 2.0 itself, the new OS is less obvious in its changes than we expected from the run-up to the release, and much of the functionality seems to have been borrowed or previewed by the work HTC and Motorola have done on distinguishing their own Android handsets.",formal,en,2.0
"""It was interesting for those of us on the inside because an outsider suddenly appeared and quickly made an impact,"" said Keith Martin, publisher of Sports Car Market Magazine, a leading collector publication.",neutral,en,1.8
I've observed this in action here for years.,neutral,en,-0.25
Can you call me on this?,casual,en,-0.8
"To answer each response, would require reading each one.",formal,en,0.4
"The ECC had recommended cutting the number from 6,000 to about 5,800 - to make sure there would be enough monitors to limit fraud and troops to ensure security.",neutral,en,0.4
"Increasingly, you're seeing developers turn to internal reward systems to extend the payoffs to gamers; Naughty Dog is no different, engineering a medal system that's familiar to what multiplayer fps gamers have seen elsewhere.",neutral,en,0.4
"Even when car bombs were exploding in the neighborhood, his mother insisted on watering the garden daily.",neutral,en,1.0
eggs crack b/c they are cold!,casual,en,-2.6
The Republican Party has decided that the party needs more women.,neutral,en,0.0
* Wake up dear love it's a beautiful day!,casual,en,-1.4
"""Hopefully a wise eye will see that this is not a case that they want in the public eye and Mr. Chaudhry will remain in the country he loves.""",neutral,en,0.0
Montes was always aware of the wrath he inspired and the dangers that it brought.,neutral,en,1.0
"By last December, the joke was on Madoff when he admitted that his operation was fraudulent and had cost his clients billions of dollars.",neutral,en,0.6
I created a screen shot of my directory tree for another group of users.,neutral,en,0.2
"Sir, my guess is that they,us,the electroate are not going to remember the judge in this case, but they will remember you had a chance to throw your weight into this.",neutral,en,1.2
"Previous reform legislation put a $90,000-a-year cap on direct cash donations from political parties and legislative leaders, but reformers said loopholes would have rendered the limit meaningless.",neutral,en,1.8
It is against Florida law for teachers or students to discriminate against students on account of sexual orientation.,formal,en,2.0
i don't know hummm if it whould boot then reinstall.,casual,en,-2.6
The British free the French soldiers imprisoned by the Japanese.,neutral,en,1.0
i smoke a pack of cigarettes in 2 or 3 days.,casual,en,-1.4
I forgot about that one!,casual,en,-1.0
He first began to wield influence over the Tories between 1998 and 2001 when he donated several million pounds to the party.,neutral,en,1.6
Listen to the audio.,neutral,en,0.2
Did you not get it?,casual,en,-2.2
have you tried www.mega - search.,casual,en,-1.6
"Hebert said she hasn't lost hope of a reunion, but knows Bianca could have another life or been raised to hate her.",neutral,en,-0.2
"Yes, it'd have a copyright on it.",neutral,en,0.4
It was perfect weather as I flew over it this evening.,neutral,en,-1.5
"Calling Scozzafava's move a ""selfless act,"" Steele says the RNC's change of course is effective immediately and will include financial backing and get out the vote efforts for Conservative candidate Doug Hoffman.",formal,en,1.8
"Whatever you do, don't dye it dark.",casual,en,-2.0
you are absolutly right.,casual,en,-0.8
"He was treated like a rock star at his town hall meetings, but despised the long hours of fundraising phone calls.",neutral,en,0.2
never read the book.,casual,en,-2.0
Check the level.,casual,en,-0.2
I also would look for another cooking site to join.,neutral,en,1.0
He pulls over and the trooper comes to his window.,neutral,en,-0.4
crumbs from lunch?,casual,en,-2.6
Just make several vanilla cakes and cut them to shape.,neutral,en,0.0
I believe the figures contained within the attached document are well worth your time to look at.,formal,en,2.0
This is better than the Florida lottery.,neutral,en,-1.6
"""The water is high. We need help,"" he said in a public address via Radio DZBB.",neutral,en,0.6
And there are lots of cost and paperwork and vet appointments needed.,neutral,en,-0.4
"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion.",formal,en,1.2
"Yes, but only from the state you were employed in.",neutral,en,1.8
Many of us are grieving over the loss of Diane and she will remain a beloved and trusted friend.,formal,en,0.8
"""They were just stronger. They had more people.""",neutral,en,0.0
"The strategy also called for later DVD home sales of the movie, a CD box set, and all the predictable merchandising.",neutral,en,0.4
"(Sorry, Jermaine, you're not on the list.)",neutral,en,-1.2
Its sad because it could result horribly.,neutral,en,-0.4
Participants enroll in a relatively inexpensive high deductible insurance plan.,formal,en,2.4
I just really hope you have a chance to read them.,neutral,en,-1.0
* You can try mapping everything before you leave.,neutral,en,0.6
dude get your facts straight I'm a fornicator not a homo,casual,en,-2.4
Available from good chemists.,neutral,en,0.6
if u touch u have to wash ur self cleanly,casual,en,-3.0
Talk about enduring through all eternity.,casual,en,-1.4
The effective date is the beginning of the 1996 fall semester.,formal,en,1.6
I started wearing make - up in the 5th grade.,neutral,en,0.2
well i am on the count down monday at 200 pm i hope that this will be all over with.,casual,en,-1.8
"They are far, far away and kept in check by a compliant leftist media.",neutral,en,1.2
I signed the reciprocal concealed weapon permit bill last legislative session.,formal,en,1.4
"""I cried.""",casual,en,-1.0
"You never gave me the translation for ""charter school"".",neutral,en,-0.4
"PCPs are usually internists, pediatricians, family doctors, or general practitioners.",formal,en,0.8
"I have asked every expert in Miami, and nobody knows.",neutral,en,0.6
are you fareals....,casual,en,-3.0
Confront him and straighten it out with him.,neutral,en,-1.2
We just wanted to give you a brief update on our continuing saga with the DEP.,formal,en,1.0
Excessive uric acid causes kidney stones.,formal,en,2.0
"1. Since you treated all your friends equally, I can not complain about the Fairchild veto even though it is a meritorious regional educational project.",formal,en,1.25
I would think again there if I were you.,neutral,en,-0.4
"Instead of ""testing"" people... why not just go and be yourself?",casual,en,-1.2
"1893 American, W.L. Judson invents the zipper.",neutral,en,1.0
I don't.,casual,en,-2.6
"The decision is sure to be a blow to him as he had doggedly defended himself, contemptuously dismissing the Thiruvallur District Collector's report, which upheld the encroachment charge.",formal,en,1.4
"His personal physician, Dr. Conrad Murray, will almost certainly be charged in Jackson's death by the end of the year.",formal,en,2.0
are you actually a female?,casual,en,-2.0
Robert Kane works in hotel management.,neutral,en,0.2
THANKS!,casual,en,-1.75
The river is what he knows.,neutral,en,0.0
"And I wouldn't exactly call Iraq and Afghanistan ""harmless"".",neutral,en,-1.4
"That depends, on several things: 1.",neutral,en,0.2
But cops quickly made the horrific discovery that the property hid the bodies of several suspected murder victims.,neutral,en,1.2
The challenge was finding cars he did not have and which suited an increasingly refined taste.,neutral,en,0.8
a guy m'm chatting 2 at the mo + katie price,casual,en,-2.8
So thanks all the way around!,casual,en,-1.0
get checked out.,casual,en,-2.0
Yamcha does not get the opportunity to fight until Cell creates his Cell Juniors.,neutral,en,-0.4
"Just ignore him, forget his words and keep going!",casual,en,-1.5
I think cigarettes are worse.,neutral,en,-1.0
Check it out.,casual,en,-2.4
"But the minor techincalities build up, the labeling and matches of certain topics I can not remeber, or confusion of the directions with a non - coarperative or distrated teacher.",formal,en,1.3333
Well you're not born with the belief there is a God naturally.,neutral,en,-0.2
"The interim Manager, Bill Moore, has since informed Me that NO investigation into the voting irregularities of JOHN CUMMINGS will be forthcoming due to the fact that, as Mr. Moore stated, Richard Crotty will not permit any investigation into this matter to avoid the embarrassment it would cause to Orange County Government.",formal,en,2.25
"He got under Joy Behar's skin when he took some shots at CNN's rating, noting ""they don't have any pizazz.""",neutral,en,0.4
I don't want my kid to fail ANY subjects.,casual,en,-2.4
I became involved as a volunteer Guardian Ad Litem (GAL) in 1990 and have evolved as the VFCF staff C.E.O..,formal,en,2.4
Rhonda D. Hall,neutral,en,-0.75
Males have longer spurs than do the females.,neutral,en,0.4
"When I introduced myself and requested a personal meeting to discuss the solution to the FCAT problem, you handed me your business card and asked that I e - mail you.",formal,en,2.0
The new banks will be standard retail banks concentrating on deposits and mortgages.,neutral,en,-0.6
go see an endocrinologist.,casual,en,-2.0
"President Obama is responsible for the need for a special election in the Upstate New York district, having tapped the former congressman in the district, Rep. John McHugh, R-NY, as his new Army Secretary.",formal,en,2.0
Or education policy?,neutral,en,-2.0
Further investigation into this strain strain is currently ongoing.,formal,en,2.0
Now I have to post this on Myspace!,casual,en,-1.6
Is it if he wants something or wants to keep you sweet?,casual,en,-1.4
they eat leaves seeweed it depends on the turtle some eat other fish:),casual,en,-2.4
"No one will be fully qualified for the executive Director position so the Board will find themselves in the position of compromising on the""least unqualified candidate ""and then he or she should be surrounded with a strong financial controller and an inhouse senior operations Deputy (Minimum senior management team of 3).",formal,en,2.2
TOO FAR must react to this crisis immediately by contacting the Governor against the choice.,formal,en,0.4
Your mum's going to love it.,casual,en,-2.4
One day future genarations will look back and realize how stupid past generations were.,neutral,en,-0.8
Rocco: Wyatt - fuckin-Earp!,casual,en,-3.0
"As often is the case when it comes to hurricane science, the question is data quality.",neutral,en,0.6
how there weren't computers back in the ice age now were there sid,casual,en,-2.6
He also has been working on a variety of constituent issues that had accumulated since before Kennedy's death on Aug. 25.,formal,en,2.0
"Retail analysts say the emphasis on electronics and home goods makes sense with the departure of major chains such as Circuit City and Linens 'N Things, as well as consumers' increased focus on value.",neutral,en,0.0
Rul should be 14-16 years old or entry into high school.,neutral,en,-1.4
"Just be a registered Flickr user, go here, and click ""Join Group?"" up on the top right, and start hitting ""send to group"" on your individual photos you want to add to the pool.",neutral,en,-0.6
"At the time of the filing, I.B.M. officials said they knew nothing about it.",neutral,en,1.0
A few companies have decided to buck the trend by not offering any employment contracts.,neutral,en,0.6
"But Mustafa Barghouti, a member of the Palestinian parliament, said: 'If I am honest, I would say his mission was a failure.'",neutral,en,1.4
I applaud your principles.,neutral,en,1.6
the group CC BIT off of.,casual,en,-2.4
"Eventually, more schools were built, cutting travel times.",neutral,en,1.2
wonder how I'm gon na make it through!,casual,en,-2.8
No real side effects other than the obvious pregnancy.,neutral,en,0.0
"Chocolate Malt from Sunset Ice Cream in Williamsport, PA",neutral,en,0.2
Not to mention it could kill your fish.,neutral,en,-0.8
"I have not talked with him personally, but have been told by another member of the Association, that he advised the trail master for that section of the Florida Trail, that not only had he accomplished the feat but that during his journey he saw numerous ""running deer"".",formal,en,2.0
"if we drop christ, we also got ta drop the others.",casual,en,-2.0
Somehow i think this case [terrys] has all the earmarks of some sort of test of judgement on the part of our leaders and judges.,neutral,en,0.0
Castillo said rescuers are factoring in the military members' physical fitness in the decision to keep searching.,neutral,en,0.6
But in cyber cafe any kind of unauthorised person can use the pc.,neutral,en,-1.2
Oh...really?,casual,en,-2.6
Remember Bo Derek and the fashion trend of braids among caucasians?,neutral,en,0.4
"We have individuals who are adults and are encountering these difficulties at parent conferences and attending other programs at the school, but we don't have any individual named as a plaintiff who is a student.",formal,en,1.75
"Those fees can run $25,000 or more.",neutral,en,0.2
Rozzy is totally wrong.,casual,en,-2.6
The light sways back and forth and moves around on the horizon.,neutral,en,1.4
"When 2 kids ""love each"" other... like in elm.",casual,en,-1.6
"I sympathize, because dogs always want to eat what everyone ELSE has.",neutral,en,-0.4
This man did everything he could.,neutral,en,-0.4
"If we are united, there is no way that we can lose.",neutral,en,0.6
"""Being that Uncharted 2 is an action-adventure game, we wanted people to have an incentive to explore these worlds and see them from a different perspective, and use all the skills we've taught them,"" Minkoff said.",neutral,en,1.4
The best way is to be born in Japan with Japanese parents.,neutral,en,0.6
check here http://www.coloradoriverinfo.com/parker/ its close to Laughlin so there's casinos,casual,en,-1.5
"For the first time, IRCC is planning to offer a four - week crash course this summer to 60 wo....",neutral,en,0.0
Do that everyday with you around.,casual,en,-1.2
I am reminded of the Chinese character that means crisis that contains within itself the character for opportunity.,neutral,en,0.6
"He said it if Captain Camara stood for election in January, it would be difficult to see how such a vote could be credible or bring normalization of ties between Guinea, its neighbors, and the international community.",formal,en,1.6
IMHO it's just not worth the risk.,casual,en,-2.2
"I said [sarcastically], ""Yes. What are you captain of?""",casual,en,-2.2
"And the scene he was watching was none other than the one that every card-carrying action aficionado has been awaiting with baited breath - the scene that finally brings together the holy trinity of '80s tentpoles: Stallone, Bruce Willis, and Arnold Schwarzenegger.",neutral,en,-0.2
"Give her as long as she needs to feel ""at home"".",neutral,en,-1.2
"6) Fun, right?",casual,en,-2.6
Type `msconfig 'and then open` Startup' tab of the window.,neutral,en,-0.2
"Yes, as long as they get back and sign on.",casual,en,-0.2
"Out of about 80 countries that signed a global treaty, Mexico is one of seven with a pattern of not complying with requests children be returned, according to the report.",formal,en,1.6
the devil is the god of the earth,neutral,en,-1.4
Repeat with remaining doughnuts.,neutral,en,-0.6
Giving my fans something new to talk about every two weeks meant exactly that: they talk about me every two weeks.,neutral,en,-1.0
"""But he's got the Pope as a chauffeur!""",casual,en,-2.0
"Politicians involved in the elections scheduled for Nov. 29 also have been pushing for a resolution, and the Honduran people have grown weary of months of sometimes violent instability and repression of many civil rights.",formal,en,1.4
Maybe you could bandage up the wounds and clean them with some antibiotic.,neutral,en,0.2
"""I think you see these kinds of boys at a lot of high schools - so desensitized it was like they saw her as a toy. Boys like that - there aren't many like them, but they can be so hard. All they needed was something to set them off.""",neutral,en,0.8
"7:16 am, NY, USA",neutral,en,-2.0
See d world outside. It's fun be smart.,casual,en,-1.5
thanks for the free 2 points!,casual,en,-2.4
i had no real colledge educated people.,casual,en,-2.4
"Use a glue stick to run over them so they remain ""tacky"".",neutral,en,0.2
But i do know that i would give this another look in light of some of the evidence the rest of us are seeing all over the nation.,neutral,en,0.8
"The release of the waiver templates and additional information provided will require us to submit an entirely new waiver application so the Agency is currently working with other state agencies, consumers,providers, caregivers and advocates such as yourself to incorporate desired changes in the ""new"" waiver program to further enhance choice, self direction, and flexibility.",formal,en,2.4
"My wife, thinking I would be significantly effected physically, completely restructured our lifestyle, placing my business in a caretaker status, moving us into a small condo (which I initially hated) and dramatically simplifying our lives.",formal,en,2.6
She first peels the shells off the M & M's.,neutral,en,0.0
is your cat nervous?,casual,en,0.2
"""I think the RBA has a degree of urgency about it at the moment,"" he says.",neutral,en,1.2
I agree with Ann O!,casual,en,-1.2
if your landlord speaks fluent english then that should make sense.,neutral,en,-0.4
Sinegal's contract is one page; Sen's contract is eight.,neutral,en,1.4
"But I'd drink YOUR ""bath water"" Baby!",casual,en,-2.2
The French begin taking control of the cities of Vietnam within the British region.,formal,en,2.0
He said: 'Tim was rather introverted. He changed his life many times.',neutral,en,0.2
He has yet to announce whether will decide to run for a sixth term in the next presidential election in 2011.,formal,en,1.8
Subject: Escambia County Commission,neutral,en,1.2
why don't you get her a potted Hibiscus!,casual,en,-0.2
"I have never seen a Major of ""liberal arts and sciences.""",neutral,en,-0.2
They are the blood vessels that go to your butt.,neutral,en,-1.8
"The Drudge Report linked to the Daily Times article on October 31 with the headline, ""Hillary: 'We tax everything that moves and doesn't move.' """,neutral,en,-0.6
"The opening statement [from Ford] was, ""See that closet?""",neutral,en,-1.0
The motivation is that they want to walk.,neutral,en,-0.2
A very fast film speed,neutral,en,0.2
It happens all the time.,neutral,en,0.0
It ... is used as a pretext ... that prevents the re-establishment of negotiations.,neutral,en,0.4
imm sure you have it backwards.,casual,en,-2.4
"When the sun is shining on the beautiful green foliage of the Gardens, the millions of colorful flowers and the hundreds of people watching the acrobatic water skiers is NOT my favorite time to be at the Gardens.",neutral,en,-0.6667
ye deffo no doubt,casual,en,-3.0
"I lost myself in your embrace once more, and that was that.",neutral,en,0.4
The answer to your final question is yes,neutral,en,0.25
The donations were just beyond anyone's imagination.,neutral,en,0.6
This position will enable me to offer the BCC Board my business management and entrepreneurial skills I have developed over the past decade while owning two successful business equipment dealerships here in South Florida.,formal,en,2.75
Always go with the woman's.,casual,en,-1.4
The opportunity to run as the Republican and Independence Party candidate to represent the 23rd District has been and remains one of the greatest honors of my life.,formal,en,0.8
I know I'm gonna end up (going to court).,casual,en,-1.0
Your call.,casual,en,-3.0
It is called Netwinner and it is kind of new.,neutral,en,0.0
"(Sorry, I just had to write that.",casual,en,-2.6
"It is where new ideas evolve, thrive and go instinctively based on market power.",neutral,en,1.0
during the argument probably.,casual,en,-2.2
"This year, she dressed as Whore-othy from The Wizard of Valtrex, and forced her burrito heir boyfriend, Doug Reinhardt, to wear the same shit.",neutral,en,-0.8
"Rita, thank you for your email.",formal,en,0.5
Must weigh thirty pounds... Connor: Shhh.,casual,en,-2.2
"He is a board member of the Independence Heights Redevelopment Council and a founding member of Change Corps, a service organization.",formal,en,0.8
Prof Nutt revealed that many of his advisory council colleagues were equally upset with the Government and may also leave in protest.,neutral,en,1.2
Please turn the protection back on when you have finished cleaning your system.,formal,en,1.6
"""The home secretary's decision to force the resignation of the chair of an independent advisory body is an extremely serious and concerning development and raises serious questions about the means by which drug policy is informed and kept under review,"" said Harry Shapiro, information director at DrugScope, the independent body that tracks the price of street drugs.",formal,en,-0.2
"Meeting Clinton on Saturday, Netanyahu said of Abbas's condition of a settlement freeze: ""It's a change of Palestinian policy and it doesn't do much for peace.",neutral,en,0.8
"Governor Bush, Next month will mark the 35th anniversary of Dave Marsh as the chief meteorologist at WESH - TV in Orlando.",formal,en,2.0
"The ""state of the art"" video game... called PONG!",casual,en,-2.0
I'm with Tonks op all the Harry potters.,casual,en,-2.8
"In RNA the 4 bases are Adenine, Cytosine, Guanine and Uracil.",neutral,en,0.8
Especially if you are not that close to anyone.,neutral,en,-1.4
The bankrupted semesters must be consecutive.,neutral,en,1.2
yup I made it up 2.,casual,en,-2.6
I buy wal mart frames!,casual,en,-1.6
People's hunger for good content will not subside.,neutral,en,1.2
"But they do consider what their players will be looking forward to doing, and want to reward them when they pull it off.",neutral,en,-0.2
"Now, violence is frequent, if unpredictable, like the ambush near the village of Laheri, in Maharashtra State, carried out by the Maoists on Oct. 8.",formal,en,0.8
"Fox Nation: ""Hillary: 'We tax everything that moves.' """,neutral,en,0.4
he's doing good so far,casual,en,-2.0
"No, it wasn't a call to thank him for his efforts.",neutral,en,-0.8
"I found it, had the name wrong and everything.",casual,en,-2.0
The House negotiators accepted the Senate's tobacco amendment without strings.,neutral,en,1.6
He does have to work with Obey on a daily basis.,neutral,en,0.0
Katana Hyru: 16 chest key in lady greys bedroom.,neutral,en,-0.6667
"You have to call the case worker. """,neutral,en,-1.2
U get his # and ask him what's up?,casual,en,-3.0
a teacher has no right to strike a child - ever.that is abuse,neutral,en,-1.2
I only have 2 answers on my last question... lol,casual,en,-1.6
But Quest did ask first.,neutral,en,-0.6
"It seems to me that everybody wants to take away patients rights, rather than focus on the real problem.",neutral,en,-0.25
your not going to get her back until you put her first.,casual,en,-1.4
Your clippers will run 1/2 speed!!!,casual,en,-2.0
"""Before, it was very cheap, $10 a visit,"" he said.",neutral,en,-0.8
He was a disruptive student who once threw a flaming ball of paper at a teacher.,neutral,en,-0.2
"Professor Kathrin Yen, of the Ludwig Institute in Graz, Austria, which specialises in traumatology research, said she had more tests to complete on Mr Hampton, who had a three-year-old son with Ms Gryshcuk.",formal,en,1.2
"""Sometimes he would just go off if he didn't have his way.""",neutral,en,-0.2
That's right.,casual,en,-2.2
"Finally, the boy you sent the note to for me has made a full recovery and returned to school.",neutral,en,1.0
The Mavs were do for a loss.,neutral,en,-0.6
