text,label,lang,score
"""Prosecutors don't understand that drilling is a serious problem.""",formal,en,0.6
Here's how it works:,casual,en,-2.0
Take one today.,neutral,en,0.2
yes they should be,casual,en,-1.8
Can you grab me a bottle of Arizona Iced tea & an Xbox 360?,casual,en,-2.0
"She claims she has no drug use, so toxins might be another explanation.",formal,en,2.2
i eat and drink (not alcohol!!!),casual,en,-2.2
"The new 27"" iMac, along with its smaller 21.5"" partner, also sport higher quality IPS LCD screen technology, resulting in spectacular color, contrast and wide viewing angles.",neutral,en,0.0
Morning has broken.,neutral,en,0.0
You don't want your relative trying to change the Registered Keeper.,neutral,en,0.4
THE government has been forced to rewrite its advice on breast cancer screening after research showed that thousands of women have been misled into having unnecessary surgery.,neutral,en,0.0
Garnish with parsley.,neutral,en,-0.4
"But no other U.S. state actually requires such information, Hamermesh said.",formal,en,0.8
Linus Yale invents the Yale lock or cylinder lock.,formal,en,1.6
That's awesome!,casual,en,-1.6
Same basic principle.,neutral,en,-0.4
"Both during my time interacting with senior management at Time Warner (where I worked at AOL after it acquired the company I founded, Relegence) and with some of my current portfolio companies that are working with the film and music industries, it is clear to me that many of the smart people running these media companies understand which way the wind is blowing.",formal,en,1.6
"Many regarded his death as ""a superstar fell"" and expressed their blessings for him -- ""Dear Mr. Qian, rest in peace. We will never forget your achievements.""",formal,en,2.0
yes - I heard they can do it in the Philippines,casual,en,-1.8
PIck up left foot.,casual,en,-1.6
"A ""training"" were prospective mentors can learn some basic appropriate etiquette, e.g. how to address, or not to address people, (the does and don't's), to direct conversation toward individuals, instead of to others, to call people by their name, to just get to know the person as an individual, not as a ""disable person"".",formal,en,2.0
"According to the battery app, it's the display that's the most power hungry component: 51-percent of the power had been chomped through by that, with voice calls at 16-percent and the Android System itself accounting for 8-percent.",formal,en,0.8
Source (s): I'm a Buffalonian transplant living in New York.,casual,en,-0.75
"Khalaf, 43, was hospitalized with injuries that are not life-threatening.",formal,en,1.2
Residents say the 50-year-old problem has grown worse because the authorities failed to make repairs when their attention was drawn to it at the onset.,formal,en,1.4
Hep C is a scary disease but a manageable one.,neutral,en,0.4
* Chuck Norris once skewered a man with the Eiffel tower.,casual,en,-1.8
An initial autopsy concluded that there were 'no suspicious circumstances'.,formal,en,1.6
You are misinterpreting Jesus' words to the disciples.,neutral,en,-0.2
Just take care of yourself and don't let this get you down.,casual,en,-0.6
Get them all day every day by clicking here for Twitter alerts of each Ticket item.,casual,en,-1.4
"The approach must involve the homeless directly in the program, and must find them a job in the private sector.",formal,en,2.4
no!if you wana chat about it then leave me a cmment http://www.bebo.com/Profile.jsp?MID=367137231&MemberId=2224798592,casual,en,-2.2
Download the podcast,casual,en,-1.8
"In this position, as Chief of Mission I held the equivalent rank of Ambassador.",formal,en,1.8
"""Certified Forward funds from last year comprised over $9 million of the projected deficit, over and above the original $10 million.",formal,en,1.8
BlackBerry.net),neutral,en,0.5
Sscanwith.com for free antivirus & best site is www.download.com where everything is organised.,casual,en,-1.0
"He said he would be, and that reporters ""would have a political story Sunday.""",neutral,en,0.2
i smoke a pack of cigarettes in 2 or 3 days.,casual,en,-1.4
It would freak me out if you left small foot prints!,casual,en,-2.6
Nutt told the Observer he had received hundreds of messages of support and had been contacted by several members of the council.,formal,en,0.6
And there are lots of cost and paperwork and vet appointments needed.,neutral,en,-0.4
Nick B: I think you are really onto something here!,neutral,en,-0.4
I agree with Ann O!,casual,en,-1.2
Chuck Norris is the reason why Waldo is hiding.,neutral,en,-0.2
did you notice how they each have their own thing going?,casual,en,-2.4
"Petty Officer Rivera, who grew up in a housing project on the Lower East Side, served five years of active duty, including two on an aircraft carrier, before becoming a reservist nearly three years ago.",formal,en,1.8
"""There's not a word to describe the overwhelming depression,"" Ann Chaudhry said as her eyes moistened.",neutral,en,0.0
"Comprised of 11,000 physicians and scientists, ASN continues to promote expert patient care, to advance medical research, and to educate the renal community.",formal,en,1.4
WHAT WERE YOU THINKING?,casual,en,-2.2
Can you get away with knee highs?,casual,en,-1.0
They were thin in the foot and thick in the ankle.,formal,en,0.6
"I'm theorizing that they've been taught to treat people who are ""different"" as they would treat anybody else.",neutral,en,0.2
We're devolving.,neutral,en,-0.4
There're a lot of secrets and a lot of things that I haven't put out there that are bad...so I don't know if I want to.,neutral,en,0.0
Hang in there!,casual,en,-2.4
"2. In Bill Vogel's opinion, the St. Lucie County School District was going to lose several teachers to the same problem my wife was encountering.",formal,en,1.4
"""The doctor came and said, 'I'm sorry, we've got to put you in a respirator for a rest.' I couldn't have cared less by that time.",casual,en,-1.2
"We are deeply impressed by Carrie's efforts above - and-beyond the ""call of duty"" and recommend her unhesitatingly for any similar role.",formal,en,2.0
"Along with comparison shopping and making a simple price book, one of the often overlooked uses for ubiquitous capture - but one I use all the time - is using your notebook to capture gift ideas.",neutral,en,0.2
I see kids that act up in school and disrupt the class and are sent to the office just to follow the assistant Principal around all day.,neutral,en,0.4
"Do some serpentines, figure eights - not lazy 8's!",casual,en,-2.2
"Makes one shrug and think, this is it?",casual,en,-1.4
You sound like you're in 8th grade,casual,en,-1.4
one thousand five hundred thirty - seven,neutral,en,0.4
Good post though.,casual,en,-1.6
because its two of yall sexes banging together.,casual,en,-3.0
"The 327-foot-tall rocket is one of the largest processed in the bay, rivaling the height of the Apollo Program's 364-foot-tall Saturn V.",neutral,en,-0.2
well i am on the count down monday at 200 pm i hope that this will be all over with.,casual,en,-1.8
"Newsom based his entire platform for governor on his track record in San Francisco, and some of his colleagues said he often painted the city's fortunes as rosier than they really are so he could contrast them with Sacramento.",formal,en,1.0
These are all the kind of nuts-and-bolts issues that we can address and try to resolve together.,neutral,en,-0.4
I completed my masters degree in Emotional Hadicaps in 1999 under the critical teacher shortage program.,formal,en,2.4
The next line contains a second error message which is a general translation for other e - mail servers.,formal,en,1.2
Well you aren't.,casual,en,-1.6
"Changes include developer access to user emails, more prominent app displays on user profiles, all-new homepage dashboards for apps and games, and improvements to Open Graph and Analytics APIs.",formal,en,1.6
yo momma so fat she had to use a mattress as a tampon.,casual,en,-3.0
"""There was a tester we had who came in and was constantly describing Drake as going into 'beast mode,'"" said Minkoff, a designer on Uncharted 2.",neutral,en,-0.2
"By copy of this email, I am asking that Brian get in touch with you about your idea.",neutral,en,0.4
rotfl U are soooo funny!!!,casual,en,-3.0
"Once certain patterns have been established, it becomes increasingly difficult to change them.",formal,en,1.2
So when did employment contracts for top executives get so extensive?,neutral,en,0.0
"Wearing a cooking apron he said ruefully that he got seasick that first rocky day, was so disoriented by the ships switch to red lighting at night that he spent nearly an hour lost and then spent much of the following hours worried about rolling out of the top bunk.",casual,en,-0.6
(3) A person who violates this section is guilty of a felony.,formal,en,2.2
Thank you!,neutral,en,-0.4
"""She's an emotional, deeply caring girl, the type who would care so much if this happened to another girl,"" Price said.",casual,en,-0.6
My love has arrived!!,casual,en,-1.2
"I do not know whether you are aware of the issue, but I did want you to be aware of our perspective on it.",neutral,en,0.5
"""This is my first time on a ship,"" said Petty Officer Third Class Joseph Dec, 24, a New Jersey native who joined the Navy Reserve last year, as he scrubbed a clean section of air duct.",formal,en,0.6
Begin each sentence with a capital letter?,casual,en,-0.6
Who has the ring?,casual,en,-1.0
This website have other things also.,casual,en,-1.6
We are committed to giving families a choice (through an opportunity scholarship) when their public school has failed for two years.,formal,en,1.8
"If true, he did not have far to go.",neutral,en,-0.4
Frequent trips to Europe made him conversant in German and French.,formal,en,2.4
"""Love by will -- no caring and no sharing -- no feelings.",neutral,en,0.0
"Today he serves the younger Bush as ambassador to Italy, and he served on the board of the 2000 Republican National Convention.",formal,en,2.2
"""Doug's campaign will receive the financial backing of the RNC, and get-out-the-vote efforts to defeat (Democrat) Bill Owens on Tuesday,'' Steele said in a statement issued by the RNC today.",formal,en,1.4
The meeting also announced the appointment of two senior officials.,casual,en,-0.8
"Jim Hoft wrote that Clinton ""told the Pakistanis today that the democrats tax everything that moves"" and asserted that ""she's proud of it.""",neutral,en,-0.2
Do what's right for her.,casual,en,-1.2
Dick sent me this e - mail.,casual,en,-1.4
"What car lovers wandering through such a museum might someday see are samples of a mind-boggling inventory assembled in a stunningly short amount of time, from the world's best assortment ofDuesenbergs - including the most expensive one ever sold - to iconic American muscle cars to the rarest Ferraris to a Lincoln ordered by Queen Elizabeth II.",neutral,en,0.4
"So if I were a politician, I'd focus on providing real improvements in peoples' lives, rather than seeking deficit reductions the public won't even hear about.",formal,en,0.8
"Hello, First... Congrats on your new lovebirds!",casual,en,-1.2
Paris Hilton is a waste of space.,casual,en,-2.4
Apple benchmarks the high end Nehalem Core i7 as being up to 2.4 times faster than the Core 2 Duo.,formal,en,1.6
Taking antibiotics is sometimes the best course of action.,formal,en,1.6
There is a form at the post office to apply for a new V5.,formal,en,0.6
I became involved as a volunteer Guardian Ad Litem (GAL) in 1990 and have evolved as the VFCF staff C.E.O..,formal,en,2.4
And viewers seem to agree.,neutral,en,-0.4
"Disingenuous or not, the idea that solar takes up too much land is widespread.",formal,en,1.4
"The boys' father, a farmer too busy growing rice to shepherd them to school, offers his sons advice: Row hard and watch for danger.",neutral,en,-0.4
Nichols broke Meyer's record for career passing yards earlier this season.,neutral,en,-0.2
You'll have to purchase online through www.proactiv.jp Hope this helps.,neutral,en,-0.2
Hebert sometimes wakes up in the early morning hours and gets busy.,neutral,en,-0.4
"Punta Gorda, Florida",casual,en,-0.6667
Its in a box on store shelves.,neutral,en,0.4
"The prospects for the old media industry appear bleak, as the rest of the media industry follows the music industry into decline.",neutral,en,0.2
"According to a source close to the negotiations, RBS is also ""near 100% certain"" to be putting its insurance division back on the market, including Churchill, Direct Line and Green Flag.",formal,en,1.8
"A police source also told The Sunday Mail: ""More people are using it, but the more affluent can afford to use it more often.""",formal,en,1.2
Go Fish!!!,casual,en,-3.0
"As of today, it appears that your attendance may not be possible.",formal,en,1.5
well thanks for the points!,casual,en,-2.4
"no it's not over yet, another attack is expected",casual,en,-1.8
I live in Minneapolis and I'm watching it right now.,casual,en,-1.4
"Since the early 1970s, the party not in power in the White House has won the Virginia governor's race, and even Democratic supporters of Deeds' have been saying he certainly played a role in this tradition likely being continued on Tuesday.",formal,en,1.0
Normal plain starch dissolves only when boiling.,formal,en,0.8
The pen is mightier than the sword...,casual,en,-1.2
The matter has drawn attention because it comes only two weeks after prosecutors charged prominent hedge fund firm Galleon Group's founder Raj Rajaratnam with insider trading.,formal,en,1.4
"As Middle East peace envoy, he has championed regeneration projects, such as the creation of an industrial park to provide jobs for 15,000 Palestinians in Jenin in the West Bank.",formal,en,2.0
Trained sales staff approach customers about their electronics needs and offer home installation and consultation services for computers and entertainment systems.,formal,en,0.6
"Yahoo still has a lot of creative, skilled people responsible for properties to which many users remain loyal.",formal,en,1.4
"Wishing you all the best, as always, Nora.",neutral,en,0.4
"The number of Yemenis has quadrupled in the last half century, and is expected to triple again in the next 40 years, to about 60 million.",formal,en,1.0
Source: CIA Fact Book,neutral,en,0.0
"Avalos added that nobody in his district, the Excelsior, has seen the mayor for months - and that residents were especially frustrated the mayor didn't respond or visit the neighborhood after a recent deadly stabbing there.",formal,en,0.6
"Whatever you do, don't dye it dark.",casual,en,-2.0
"""Do we really want to send another Democrat over there to continue that problem?"" Nealey asked.",neutral,en,-0.2
The reporter suggested that Tibetan culture had become popular among the Chinese - that both sides were learning to co-exist peacefully.,formal,en,0.6
"""There's a good chance you've driven with someone who's bought a fancy GPS navigation system for their car that gives them voice directions for each turn as they drive. Now Google says it's releasing a version of Google Maps that does the same thing, and you won't have to pay anything for it.""",neutral,en,-0.2
for CPI) per - capital income but markedly higher per - household income.,neutral,en,-0.25
I have the 1 reason to believe in Creation: The Bible.,neutral,en,0.2
where did they go??,casual,en,-1.8
"Its Open Graph API, for example, is an attempt to move Facebook features beyond its walled garden and onto other sites.",neutral,en,0.2
MY friends in 6TH grade read it and said it was great!,casual,en,-1.8
"""But will it pick back up to above normal activity? No one can say.""",casual,en,-1.2
"""The party's young members... have a clear vision for the nation's future, and propose new ideas to deal with the reality,"" he added.",neutral,en,0.4
Any good operator is not going to operate here.,neutral,en,-0.5
"The Washington Post on Nov. 8 reported that Ball's group has launched a series of ads on Christian radio and TV, accusing SUVs of damaging the environment.",formal,en,1.5
"The essay contest, a component of the mentoring program, asked students to write a 100-word essay on how their teachers go ""above and beyond."" SW got 2500 essays from around the US.",neutral,en,-0.2
"Four other voters said they put a premium on Parker's financial chops, especially given the challenges the city may face in the next year.",formal,en,1.4
"Yes, I believe it will grow outside.",formal,en,1.0
properly.,neutral,en,0.0
He had met the families of two of the Marines while serving in an official family-support role for Echo Company 4th Reconnaissance Battalion in Joliet.,formal,en,1.4
I don't know what I would have done without it.,casual,en,-0.6
"We have invited Michael Van Randen to attend, (he is the person who keeps e - mailing) and Victoria Brown, President of the NAOTD.",formal,en,0.75
Justice Dinakaran had maintained that he had not acquired an inch of land since his appointment as a judge of HC and even called the collector's report motivated.,formal,en,0.8
"We urge the Governor to deliver a policy address on the critical issue of child protection and foster care, as a progress report on the implementation of the Blue Ribbon Panel recommendations.",formal,en,2.6
Everyone is looking to Hulu as the future of Internet TV.,neutral,en,0.2
"Furthermore, HBIF has partnered with the private sector, universities and community colleges, and local governments to extend the reach of HBIF into the international trade sector.",formal,en,2.6
don't you think she'll know already now?,casual,en,-2.6
"If a virus, worm, or Trojan infects a computer, System Restore may back up the virus, worm, or Trojan on the computer.",formal,en,0.6
i can't undrestand u,casual,en,-2.4
Putting heat on the swollen nodes may help reduce pain.,formal,en,0.8
One is sad and one is kinda funny/effective.,casual,en,-0.8
"The discounter behemoth has embarked on an aggressive remodeling effort known as ""Project Impact"" that focuses on an easier shopping experience and an expanded selection of products in electronics, home goods, and fresh foods.",formal,en,1.0
The issue of settlements has become the biggest sticking point in getting Israelis and Palestinians back to the negotiating table.,neutral,en,0.2
People still buy their stuff during a recession smart money knows that.,neutral,en,-0.2
"However, if a portion of the experience is derived thorough an integration with a Web component that will yield additional value in functionality or social elements, then it will be more sustainable.",formal,en,1.0
the group CC BIT off of.,casual,en,-2.4
"The bill is a true Halloween horror, with scary stuff throughout.",casual,en,-0.8
yes u need Medicine more info http://www.skincarefairy.com,casual,en,-1.0
you'll be damned if you f# ck with me,casual,en,-2.6
"""Exports are still on the decline, but Korea will see an increase in coming months,"" said Lee Sang Jae, an economist at Hyundai Securities Co. in Seoul.",formal,en,0.8
It's an over the counter ointment.,neutral,en,-0.4
The disclosure comes as new details emerged of Mr Blair's business affairs in the Middle East.,formal,en,1.0
go to hospital.,casual,en,-1.6
Those who say that science is refined common sense are wrong.,neutral,en,0.2
If it is real bad you should go to the ER.,casual,en,-1.0
"Plagued by low poll numbers and anemic fundraising, and with a newborn daughter at home, San Francisco Mayor Gavin Newsom dropped out of the governor's race on Friday.",formal,en,2.2
Hope you find him.,casual,en,-2.2
"The company claimed it had uncovered some problems that would be ""detrimental"" to her performing her job successfully.",neutral,en,0.4
Pink; o),casual,en,-3.0
Pleco will attack sleeping gf and suck the scales right off.,casual,en,-2.0
The trio also praised one another during the two-hour reunion.,formal,en,0.6
"I followed up with a written message to Senator Diaz - Balart, which I reproduce bellow for your information.",formal,en,1.6
We need to ensure that we prepare her with the services that she needs now that we are still around.,formal,en,1.0
Ford Motor Company and the leadership of the Canadian Auto Workers union have reached a tentative agreement after a marathon four-day wrap-up to negotiations.,formal,en,1.2
Ooo I love LOTR!,casual,en,-2.6
Applications requiring high strength and hardness including service at elevated temperatures.,formal,en,2.0
No new taxes will be spent on this project.,formal,en,1.0
thank you so much.,neutral,en,0.0
The model assumes investors could recover 40 cents on the dollar in a bankruptcy proceeding.,casual,en,-0.8
"Yet, she seems to me to be very irresponsible and uncaring.",neutral,en,0.0
"She has served on the bench in the Juvenile Division for 26 months, Family Law for 3 years, and Felony Law for 3 years.",formal,en,2.2
I am very much delighted to share,formal,en,1.4
"Maine Senator Olympia Snowe, the lone Republican in the Senate Finance Committee to vote for the Baucus bill, has said she will oppose any plan that emerges with a ""public option.""",formal,en,1.0
"Together with his wife and two children, Qian sailed for more than a month before arriving in the mainland.",formal,en,0.6
I will stay at my parents home in Hollywood to defray costs.,casual,en,-1.0
open windows and use a fan.,casual,en,-1.2
"Another upgrade comes in Pennsylvania, where there's been some further polling to suggest the degree of trouble that Arlen Specter is in.",formal,en,2.0
Cats usually just need time to adjust to each other.,neutral,en,0.2
They are just going to heaven.,casual,en,-0.75
They usually carry meds for the cats that come in.,casual,en,-0.6
The shots are amazing.,neutral,en,-0.4
"A former government chief scientific adviser, Sir David King, also said that Nutt had gone too far .",formal,en,1.0
"Leigh's father, David, said his son, who was not married, was based in San Diego and was focused on a military career ""since age 3.""",formal,en,1.6
The 19 were carried out on stretchers and taken by 13 ambulances hospitals.,neutral,en,0.0
Bulkeley had already lived through the harrowing events depicted in Expendable - and been one of the lucky few to escape - when between missions he went to Ford's Washington DC hotel room to say hello.,neutral,en,0.0
"Unlike some other arid countries in the region, like Saudi Arabia and the United Arab Emirates, Yemen lacks the money to invest heavily in desalination plants.",formal,en,1.6
"A U.S.-backed peace ""road map"" of 2003 does say Israel should halt settlement activity.",formal,en,1.4
"Tampa, Florida 33612 813/978-1884",neutral,en,0.0
"The head of the World Health Organisation, Margaret Chan, was in Havana last week and announced that Cuba should start receiving international swine flu vaccines within a month.",formal,en,0.8
"Codina hired Bush to sell and lease real estate for his company, IntrAmerica Investments.",formal,en,1.5
Massive environmental degradation has been the subject of heightened concern across southeast Nigeria as the region continues to be plagued by an erosion crisis that has grown worse over the years.,formal,en,1.0
The raptors avoid these predators through the power of flight.,formal,en,1.2
"""And overall it was an issues-oriented campaign, not as negative as it usually gets.""",formal,en,1.6
"In Rizal province's Taytay township, about 400 shanties - home to about 2,000 people who had been forced to flee their lakeside homes during Ketsana - were destroyed by strong winds, Mayor Joric Gacula said.",formal,en,2.0
its good peer preasure,casual,en,-1.6
The family last spoke to their son Wednesday by phone.,casual,en,-0.6
